cos_th,W,delta_W
-0.8,2.585,-2.77369
-0.8,2.605,-1.46472
-0.8,2.615,0.0384427
-0.8,2.625,2.4739
-0.8,2.635,1.94264
-0.8,2.645,5.94119
-0.7,2.585,-1.10161
-0.7,2.605,-0.310246
-0.7,2.615,0.0895089
-0.7,2.625,0.566588
-0.7,2.635,0.166308
-0.7,2.645,3.40895
-0.6,2.585,-1.34652
-0.6,2.605,-0.781699
-0.6,2.615,0.157865
-0.6,2.625,-0.427224
-0.6,2.635,-2.13897
-0.6,2.645,-0.66416
-0.5,2.585,0.611588
-0.5,2.595,1.54839
-0.5,2.605,2.09662
-0.5,2.615,1.46064
-0.5,2.625,1.43907
-0.5,2.635,1.77738
-0.5,2.645,1.99827
-0.4,2.585,-1.30521
-0.4,2.595,-1.56998
-0.4,2.605,0.039062
-0.4,2.615,0.00467062
-0.4,2.625,-1.13195
-0.4,2.635,-0.98342
-0.4,2.645,-1.1253
-0.3,2.585,-0.864671
-0.3,2.595,-0.007373
-0.3,2.605,-0.583073
-0.3,2.615,0.543668
-0.3,2.625,-0.00113871
-0.3,2.635,-0.450785
-0.3,2.645,0.24524
-0.2,2.585,1.13486
-0.2,2.595,0.653254
-0.2,2.605,2.92285
-0.2,2.615,3.40789
-0.2,2.625,3.41362
-0.2,2.635,3.13119
-0.2,2.645,2.67219
-0.1,2.585,-0.104909
-0.1,2.595,0.423652
-0.1,2.605,1.0558
-0.1,2.615,1.33018
-0.1,2.625,2.10649
-0.1,2.635,2.87563
-0.1,2.645,3.06487
7.5287E-16,2.585,1.48877
7.5287E-16,2.595,0.733517
7.5287E-16,2.605,0.984387
7.5287E-16,2.615,1.78012
7.5287E-16,2.625,2.70718
7.5287E-16,2.635,2.73138
7.5287E-16,2.645,3.15805
0.1,2.585,-0.119959
0.1,2.595,1.70906
0.1,2.605,1.01072
0.1,2.615,0.586527
0.1,2.625,1.93292
0.1,2.635,2.28097
0.1,2.645,3.30219
0.2,2.585,0.988153
0.2,2.595,3.0567
0.2,2.605,3.28405
0.2,2.615,3.24631
0.2,2.625,4.12169
0.2,2.635,5.6083
0.2,2.645,6.44926
0.3,2.585,1.72881
0.3,2.595,2.31107
0.3,2.605,3.8288
0.3,2.615,4.2136
0.3,2.625,5.6465
0.3,2.635,6.40922
0.3,2.645,7.53689
0.4,2.585,0.9553
0.4,2.595,-0.203026
0.4,2.605,1.51894
0.4,2.615,1.53813
0.4,2.625,4.00913
0.4,2.635,4.09431
0.4,2.645,5.34342
0.5,2.585,-2.30369
0.5,2.595,-2.7544
0.5,2.605,-5.30841
0.5,2.615,-1.94368
0.5,2.625,-0.919765
0.5,2.635,-0.0240178
0.5,2.645,-0.560797
0.6,2.585,0.5632
0.6,2.595,-1.25621
0.6,2.605,-1.91258
0.6,2.615,-0.848502
0.6,2.625,-2.94995
0.6,2.635,3.75217
0.6,2.645,-0.556906
0.7,2.585,0.964968
0.7,2.595,6.38949
0.7,2.605,0.7786
0.7,2.615,-2.72149
0.7,2.625,-5.51128
0.7,2.635,-3.37285
0.7,2.645,4.6805
0.8,2.585,-8.32948
0.8,2.595,-3.2679
0.8,2.605,-14.4142
0.8,2.615,-22.2886
0.8,2.625,-22.3395
0.8,2.635,-18.3383
0.8,2.645,-13.7572
